Epoca,Perdida_Entrenamiento,Perdida_Validacion
1,0.07612620294094086,0.06462645530700684
2,0.06908725202083588,0.06343507021665573
3,0.06855473667383194,0.06470590084791183
4,0.06614537537097931,0.06380629539489746
5,0.06630071997642517,0.06494499742984772
6,0.06403735280036926,0.06527460366487503
7,0.06544874608516693,0.06757000833749771
8,0.06284072995185852,0.0607740581035614
9,0.06333522498607635,0.06605719774961472
10,0.06294088810682297,0.07476239651441574
11,0.0615667924284935,0.06721724569797516
12,0.06083241105079651,0.06645235419273376
13,0.06414687633514404,0.07009091228246689
14,0.06122467294335365,0.06381037086248398
15,0.0603138692677021,0.06768689304590225
16,0.059644848108291626,0.061503246426582336
17,0.06366389989852905,0.06736037880182266
18,0.0603426918387413,0.06148584559559822
19,0.05867442116141319,0.06305107474327087
20,0.06072448566555977,0.0757351964712143
21,0.058495424687862396,0.06361934542655945
22,0.05903136730194092,0.06613639742136002
23,0.059782207012176514,0.06269044429063797
24,0.058702290058135986,0.061593491584062576
25,0.05830811709165573,0.061541806906461716
26,0.05973562225699425,0.06560969352722168
27,0.05922781303524971,0.062937431037426
28,0.05809011310338974,0.06257542222738266
29,0.05974423140287399,0.06387998163700104
30,0.059018488973379135,0.06544853001832962
31,0.05639629811048508,0.06278447806835175
32,0.0584878996014595,0.06324923783540726
33,0.05733666941523552,0.0624544732272625
34,0.0576331727206707,0.06452027708292007
35,0.05794912204146385,0.0631551742553711
36,0.056332048028707504,0.06409977376461029
37,0.056106340140104294,0.06251820921897888
38,0.0573052279651165,0.0667334571480751
39,0.057790063321590424,0.06755852699279785
40,0.057084545493125916,0.06290889531373978
41,0.05604223161935806,0.06742577254772186
42,0.0560101754963398,0.06327669322490692
43,0.05544281750917435,0.06399824470281601
44,0.05661007761955261,0.06472808122634888
45,0.05723230540752411,0.07000785320997238
46,0.05517221614718437,0.06365211308002472
47,0.05615535378456116,0.06703031063079834
48,0.05694245174527168,0.0629507377743721
49,0.05507925897836685,0.06479799747467041
50,0.055863406509160995,0.06286599487066269
