Epoca,Perdida_Entrenamiento,Perdida_Validacion
1,0.28026720881462097,0.23472175002098083
2,0.16461670398712158,0.1967291235923767
3,0.14098399877548218,0.18582910299301147
4,0.1261545717716217,0.17801903188228607
5,0.11694075167179108,0.16880746185779572
6,0.11013485491275787,0.16804386675357819
7,0.10589876025915146,0.15819361805915833
8,0.10015906393527985,0.14582140743732452
9,0.0976455807685852,0.14551439881324768
10,0.09567032009363174,0.14597304165363312
11,0.09335190057754517,0.14306528866291046
12,0.08946898579597473,0.126935675740242
13,0.089628666639328,0.13758037984371185
14,0.09001506865024567,0.1263953596353531
15,0.08557601273059845,0.12229567766189575
16,0.08089571446180344,0.13556897640228271
17,0.08304004371166229,0.11780522018671036
18,0.08302289992570877,0.11619970202445984
19,0.0775606781244278,0.11163891106843948
20,0.07823146879673004,0.10344727337360382
21,0.07306241244077682,0.10229534655809402
22,0.07078538835048676,0.10088219493627548
23,0.0718478411436081,0.09857625514268875
24,0.06852106004953384,0.09371446073055267
25,0.06734687089920044,0.09239867329597473
26,0.06653139740228653,0.10363975912332535
27,0.06624525040388107,0.09315554052591324
28,0.06740743666887283,0.09622738510370255
29,0.06397818773984909,0.08903136849403381
30,0.0647938922047615,0.09022298455238342
31,0.06288480013608932,0.09328991919755936
32,0.06284520030021667,0.09269867837429047
33,0.06255284696817398,0.09960252046585083
34,0.06428797543048859,0.0858789011836052
35,0.060093268752098083,0.08795107156038284
36,0.060861870646476746,0.08673731237649918
37,0.06265857815742493,0.1035824790596962
38,0.063613161444664,0.08296094834804535
39,0.059268832206726074,0.08900441229343414
40,0.0593065470457077,0.08502347767353058
41,0.05983758345246315,0.10462623834609985
42,0.05986988916993141,0.0876498743891716
43,0.05838361382484436,0.08370661735534668
44,0.05883195251226425,0.08882730454206467
45,0.057649802416563034,0.08694351464509964
46,0.058038219809532166,0.12879540026187897
47,0.05959894880652428,0.08184891939163208
48,0.05787678435444832,0.0878491923213005
49,0.06284543871879578,0.09181129932403564
50,0.05615732818841934,0.08447529375553131
