Epoca,Perdida_Entrenamiento,Perdida_Validacion
1,0.26106274127960205,0.19692373275756836
2,0.16310875117778778,0.1887771636247635
3,0.14410990476608276,0.17117638885974884
4,0.13587310910224915,0.20002834498882294
5,0.13055934011936188,0.1695374697446823
6,0.12043098360300064,0.15831971168518066
7,0.10970114916563034,0.15364578366279602
8,0.11169406026601791,0.15387384593486786
9,0.10739877820014954,0.14335013926029205
10,0.10319917649030685,0.13917234539985657
11,0.10287865996360779,0.15590700507164001
12,0.09779012203216553,0.14709831774234772
13,0.09897828847169876,0.13363131880760193
14,0.09900743514299393,0.13042058050632477
15,0.09741982072591782,0.1288411170244217
16,0.09696058183908463,0.12815313041210175
17,0.09069212526082993,0.12439370900392532
18,0.08766303211450577,0.11968259513378143
19,0.08634032309055328,0.12921448051929474
20,0.08841755986213684,0.12805889546871185
21,0.08453736454248428,0.13084766268730164
22,0.08102693408727646,0.11129175126552582
23,0.08574837446212769,0.1279326230287552
24,0.08643139898777008,0.1656489074230194
25,0.08594588190317154,0.11737048625946045
26,0.08774647861719131,0.10974162817001343
27,0.0788162425160408,0.10732877999544144
28,0.07611650973558426,0.11330839991569519
29,0.07535966485738754,0.11948780715465546
30,0.08056692034006119,0.1643414944410324
31,0.07704880833625793,0.10612174868583679
32,0.06723515689373016,0.10701171308755875
33,0.07514108717441559,0.13173283636569977
34,0.07098941504955292,0.10597298294305801
35,0.08317221701145172,0.11129733175039291
36,0.06714202463626862,0.10651231557130814
37,0.06967870146036148,0.13514284789562225
38,0.06180714815855026,0.10164003819227219
39,0.06092219054698944,0.0987313762307167
40,0.0638398751616478,0.1326497197151184
41,0.06604035943746567,0.09954587370157242
42,0.059890471398830414,0.10035892575979233
43,0.05849780887365341,0.09343168884515762
44,0.05591870844364166,0.10749507695436478
45,0.05944303795695305,0.092660091817379
46,0.05426192283630371,0.09970453381538391
47,0.05729089677333832,0.092276930809021
48,0.05409878119826317,0.09276916831731796
49,0.05283120647072792,0.09178481996059418
50,0.05435959994792938,0.08927670121192932
