Epoca,Perdida_Entrenamiento,Perdida_Validacion
1,0.2791760265827179,0.1725303828716278
2,0.17388790845870972,0.15032275021076202
3,0.15290428698062897,0.15644149482250214
4,0.1417829841375351,0.1444205492734909
5,0.13431911170482635,0.1406303495168686
6,0.12679271399974823,0.1200399398803711
7,0.12085522711277008,0.12251783907413483
8,0.11686737090349197,0.12536749243736267
9,0.11238154023885727,0.11507803946733475
10,0.10840443521738052,0.12106399238109589
11,0.107085220515728,0.11337831616401672
12,0.10508955270051956,0.1131661906838417
13,0.09785918146371841,0.09928923845291138
14,0.09488563984632492,0.15383528172969818
15,0.10751555114984512,0.11725665628910065
16,0.09905447065830231,0.10461993515491486
17,0.08894645422697067,0.12512709200382233
18,0.09198965132236481,0.10819423943758011
19,0.08512658625841141,0.10332667827606201
20,0.08898234367370605,0.10716976970434189
21,0.0810881033539772,0.11421108990907669
22,0.07505404949188232,0.09429152309894562
23,0.07257555425167084,0.0930425152182579
24,0.07087142020463943,0.0967184454202652
25,0.0776071697473526,0.0994671955704689
26,0.06874479353427887,0.0918285995721817
27,0.06409009546041489,0.09101735800504684
28,0.06753471493721008,0.11550827324390411
29,0.0671856626868248,0.09051256626844406
30,0.06032690405845642,0.08558237552642822
31,0.060904789716005325,0.0889405682682991
32,0.0670597031712532,0.08573494851589203
33,0.06289327144622803,0.0899571105837822
34,0.06049931049346924,0.1244426742196083
35,0.08721078932285309,0.09122227877378464
36,0.06492812186479568,0.08437628298997879
37,0.06584153324365616,0.10406821221113205
38,0.05764022096991539,0.08388522267341614
39,0.05958511680364609,0.0856722965836525
40,0.055490657687187195,0.07888911664485931
41,0.06362822651863098,0.1042424887418747
42,0.06538953632116318,0.10438044369220734
43,0.06648451089859009,0.07958108186721802
44,0.05410764738917351,0.07915879786014557
45,0.05367964878678322,0.07250574976205826
46,0.05663124844431877,0.07588203251361847
47,0.05496792122721672,0.0829547792673111
48,0.06641249358654022,0.08361417800188065
49,0.05425206199288368,0.07301574945449829
50,0.051670968532562256,0.07569535821676254
