Epoca,Perdida_Entrenamiento,Perdida_Validacion
1,0.2454431802034378,0.2092473804950714
2,0.14956490695476532,0.18767085671424866
3,0.12641745805740356,0.16319850087165833
4,0.11429404467344284,0.14552758634090424
5,0.1081547811627388,0.13628625869750977
6,0.101996049284935,0.13441921770572662
7,0.09749344736337662,0.12241465598344803
8,0.09343558549880981,0.12880633771419525
9,0.09438864141702652,0.11851897835731506
10,0.08740926533937454,0.11649878323078156
11,0.08431120216846466,0.12134999781847
12,0.0882883369922638,0.11390198022127151
13,0.08141724765300751,0.10832115262746811
14,0.07901781052350998,0.09925788640975952
15,0.07905461639165878,0.09982963651418686
16,0.07465075701475143,0.09605094790458679
17,0.07000456005334854,0.09015747159719467
18,0.07086629420518875,0.09152562916278839
19,0.06796286255121231,0.09498431533575058
20,0.06699475646018982,0.10028038173913956
21,0.06639227271080017,0.0863494947552681
22,0.06520532816648483,0.0884953960776329
23,0.06411083787679672,0.08467575907707214
24,0.061882320791482925,0.09147978574037552
25,0.06121974065899849,0.09267248958349228
26,0.06123587116599083,0.08974464982748032
27,0.05845525860786438,0.08948228508234024
28,0.06519906222820282,0.08290840685367584
29,0.05731858313083649,0.08147002756595612
30,0.057614412158727646,0.08465109765529633
31,0.05980868265032768,0.08077536523342133
32,0.05605597421526909,0.07686926424503326
33,0.05824723094701767,0.09052224457263947
34,0.05599642172455788,0.08508703112602234
35,0.05502524971961975,0.08237635344266891
36,0.05587795376777649,0.07877547293901443
37,0.05472291260957718,0.07777304947376251
38,0.05525679141283035,0.07618657499551773
39,0.05466049537062645,0.07751217484474182
40,0.05453469976782799,0.07757071405649185
41,0.055523697286844254,0.0802256315946579
42,0.05341702699661255,0.07676766812801361
43,0.053221218287944794,0.07868757098913193
44,0.05278974026441574,0.07603076845407486
45,0.05350663885474205,0.08212912827730179
46,0.051529187709093094,0.07794727385044098
47,0.05260135605931282,0.0757121667265892
48,0.05126485601067543,0.07214564830064774
49,0.05237738415598869,0.07177482545375824
50,0.05163903161883354,0.07639336585998535
